ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS
L198,Class,Store,net.sourceforge.pbeans.Store,L106,L103,src/net/sourceforge/pbeans/Store.java,34,1,1222,2,0,0,0,0,0,0,0,0,2,5,5,169,15,10,19,41,106,1,0.249748,248,234,22,0,0.234821,263,0,0,0,0,0,745,1050,17,28,17,28,65,0,21,0,65,451,0,21,0,857,1189,25,32,25,32,77,0,25,0,77,509,0,25,0
L494,Class,StoreException,net.sourceforge.pbeans.StoreException,L106,L103,src/net/sourceforge/pbeans/StoreException.java,3,1,15,2,0,0,0,0,0,0,0,0,0,0,0,3,0,7,26,0,3,0,0,0,0,0,4,0,0,0,0,1,1,0,11,13,0,0,0,0,3,0,3,0,3,3,0,3,0,11,13,0,0,0,0,3,0,3,0,3,3,0,3,0
L446,Interface,StoreInfo,net.sourceforge.pbeans.StoreInfo,L106,L103,src/net/sourceforge/pbeans/StoreInfo.java,13,1,43,2,0,0,0,0,0,0,0,0,0,0,0,6,5,2,9,0,6,1,0.789474,30,30,7,0,0.789474,30,0,0,1,5,0,8,31,0,3,0,3,6,0,6,0,6,0,0,6,0,8,31,0,3,0,3,6,0,6,0,6,0,0,6,0
L643,Class,AbstractDatabase,net.sourceforge.pbeans.data.AbstractDatabase,L629,L103,src/net/sourceforge/pbeans/data/AbstractDatabase.java,14,1,713,2,0,0,0,0,0,0,0,0,1,6,6,113,8,5,9,24,57,0.538462,0.149201,84,69,7,6,0.130971,85,1,1,3,3,1,479,602,11,12,11,12,33,0,12,3,33,291,0,12,3,564,700,17,15,17,15,45,0,24,3,45,326,0,24,3
L663,Class,ConnectionPool,net.sourceforge.pbeans.data.ConnectionPool,L629,L103,src/net/sourceforge/pbeans/data/ConnectionPool.java,7,1,140,2,0,0,0,0,0,0,0,0,1,6,5,17,1,2,7,5,10,0,0.0229885,2,0,0,5,0.0168067,2,0,0,0,0,0,85,94,6,1,6,1,5,0,4,2,5,48,0,4,2,117,134,8,2,8,2,13,0,11,2,13,59,0,11,2
L645,Interface,Database,net.sourceforge.pbeans.data.Database,L629,L103,src/net/sourceforge/pbeans/data/Database.java,10,1,55,2,0,0,0,0,0,0,0,0,0,0,0,8,2,5,10,0,8,0.777778,0.767442,33,33,7,2,0.767442,33,0,0,1,4,0,10,46,0,2,0,2,8,0,8,0,8,0,0,8,0,10,46,0,2,0,2,8,0,8,0,8,0,0,8,0
L1144,Interface,DatabaseFactory,net.sourceforge.pbeans.data.DatabaseFactory,L629,L103,src/net/sourceforge/pbeans/data/DatabaseFactory.java,9,1,15,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0.7,7,7,2,0,0.7,7,0,0,1,1,0,3,7,0,1,0,1,1,0,1,0,1,0,0,1,0,3,7,0,1,0,1,1,0,1,0,1,0,0,1,0
L1149,Class,DefaultDatabaseFactory,net.sourceforge.pbeans.data.DefaultDatabaseFactory,L629,L103,src/net/sourceforge/pbeans/data/DefaultDatabaseFactory.java,9,1,73,2,0,0,0,0,0,0,0,0,0,3,2,7,6,1,0,5,9,1,0.375,24,24,5,0,0.375,24,1,1,0,0,1,40,65,3,1,3,1,4,0,4,3,4,20,0,4,3,40,65,3,1,3,1,4,0,4,3,4,20,0,4,3
L423,Class,FieldDescriptor,net.sourceforge.pbeans.data.FieldDescriptor,L629,L103,src/net/sourceforge/pbeans/data/FieldDescriptor.java,10,1,71,2,0,0,0,0,0,0,0,0,1,0,0,11,0,9,16,0,11,0.166667,0.222222,12,12,2,10,0.222222,12,0,0,0,0,0,42,62,4,3,4,3,11,0,11,0,11,14,0,11,0,42,62,4,3,4,3,11,0,11,0,11,14,0,11,0
L1251,Class,GenericDataSource,net.sourceforge.pbeans.data.GenericDataSource,L629,L103,src/net/sourceforge/pbeans/data/GenericDataSource.java,13,1,83,2,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,10,0.272727,0.19697,13,13,3,8,0.19697,13,0,0,0,0,0,53,71,3,4,3,4,10,0,10,4,10,22,0,10,4,53,71,3,4,3,4,10,0,10,4,10,22,0,10,4
L1188,Class,GenericDatabase,net.sourceforge.pbeans.data.GenericDatabase,L629,L103,src/net/sourceforge/pbeans/data/GenericDatabase.java,9,1,42,2,0,0,0,0,0,0,0,0,1,1,1,6,2,1,1,5,9,0.333333,0.30303,10,9,1,2,0.30303,10,2,2,0,0,1,23,34,11,12,0,2,4,0,2,0,34,11,0,13,3,23,34,11,12,0,2,4,0,2,0,34,11,0,13,3
L838,Class,IndexDescriptor,net.sourceforge.pbeans.data.IndexDescriptor,L629,L103,src/net/sourceforge/pbeans/data/IndexDescriptor.java,8,1,64,2,0,0,0,0,0,0,0,0,1,1,1,13,0,2,3,0,9,0.2,0.156863,8,8,2,8,0.156863,8,0,0,0,0,0,43,57,3,2,3,2,9,0,9,0,9,17,0,9,0,43,57,3,2,3,2,9,0,9,0,9,17,0,9,0
L1176,Class,MySQLDatabase,net.sourceforge.pbeans.data.MySQLDatabase,L629,L103,src/net/sourceforge/pbeans/data/MySQLDatabase.java,10,1,44,2,0,0,0,0,0,0,0,0,1,0,0,6,2,1,1,5,10,0.666667,0.441176,15,15,2,1,0.441176,15,2,2,0,0,1,19,35,11,13,0,3,5,0,2,0,35,7,0,13,3,19,35,11,13,0,3,5,0,2,0,35,7,0,13,3
L963,Interface,ResultsIterator,net.sourceforge.pbeans.data.ResultsIterator,L629,L103,src/net/sourceforge/pbeans/data/ResultsIterator.java,13,1,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,1,0.5,0.769231,10,10,1,1,0.769231,10,0,0,2,2,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0
L1183,Class,SQLServerDatabase,net.sourceforge.pbeans.data.SQLServerDatabase,L629,L103,src/net/sourceforge/pbeans/data/SQLServerDatabase.java,10,1,51,2,0,0,0,0,0,0,0,0,1,2,1,8,2,1,1,5,10,0.666667,0.219512,9,9,2,1,0.219512,9,2,2,0,0,1,32,42,11,13,0,3,5,0,2,0,35,16,0,13,3,32,42,11,13,0,3,5,0,2,0,35,16,0,13,3
L1948,Class,BeanMapper,net.sourceforge.pbeans.util.BeanMapper,L1945,L103,src/net/sourceforge/pbeans/util/BeanMapper.java,11,1,40,2,0,0,0,0,0,0,0,0,1,4,4,8,0,2,2,0,2,1,0.28125,9,9,3,0,0.28125,9,0,0,0,0,0,23,30,0,0,0,0,2,0,2,0,2,15,0,2,0,23,30,0,0,0,0,2,0,2,0,2,15,0,2,0
L521,Class,AbstractStoreInfo,net.sourceforge.pbeans.AbstractStoreInfo,L769,L103,src/net/sourceforge/pbeans/AbstractStoreInfo.java,15,1,346,2,0.0748059,1,2,1,0.0662651,0.0696864,22,20,6,25,4,96,9,2,3,14,30,0.3125,0.100313,32,30,5,11,0.100313,32,1,1,2,2,1,287,332,4,9,4,9,16,0,15,0,16,170,0,15,0,287,332,4,9,4,9,16,0,15,0,16,170,0,15,0
L1089,Interface,BeanFactory<T extends Object>,net.sourceforge.pbeans.BeanFactory,L769,L103,src/net/sourceforge/pbeans/BeanFactory.java,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0
L1094,Class,Criteria,net.sourceforge.pbeans.Criteria,L769,L103,src/net/sourceforge/pbeans/Criteria.java,28,1,305,2,0,0,0,0,0,0,0,0,1,1,1,33,3,1,2,1,21,0.857143,0.523985,142,140,18,3,0.523985,142,0,0,0,0,0,129,278,4,6,4,6,20,0,20,0,20,52,0,20,0,129,278,4,6,4,6,20,0,20,0,20,52,0,20,0
L2422,Class,DefaultStoreInfo,net.sourceforge.pbeans.DefaultStoreInfo,L769,L103,src/net/sourceforge/pbeans/DefaultStoreInfo.java,18,1,712,2,0.135381,4,24,7,0.143885,0.151235,100,98,2,28,4,195,12,1,1,28,48,0.176471,0.0385757,26,16,3,14,0.0385757,26,1,1,0,0,1,648,695,14,11,14,11,20,0,16,0,20,420,0,16,0,648,695,14,11,14,11,20,0,16,0,20,420,0,16,0
L427,Class,DuplicateEntryException,net.sourceforge.pbeans.DuplicateEntryException,L769,L103,src/net/sourceforge/pbeans/DuplicateEntryException.java,11,1,23,2,0,0,0,0,0,0,0,0,0,0,0,3,1,5,4,2,5,0.25,0.421053,8,8,1,3,0.421053,8,1,1,0,0,1,11,13,0,0,0,0,3,0,3,0,6,3,0,6,0,11,13,0,0,0,0,3,0,3,0,6,3,0,6,0
L947,Class,GlobalPersistentID,net.sourceforge.pbeans.GlobalPersistentID,L769,L103,src/net/sourceforge/pbeans/GlobalPersistentID.java,6,1,55,2,0,0,0,0,0,0,0,0,1,1,1,11,1,8,14,3,11,0.111111,0.0666667,3,3,1,8,0.0666667,3,0,0,0,0,0,42,50,2,2,2,2,8,0,8,0,8,20,0,8,0,42,50,2,2,2,2,8,0,8,0,8,20,0,8,0
L2618,Interface,IMultiValueContainer,net.sourceforge.pbeans.IMultiValueContainer,L769,L103,src/net/sourceforge/pbeans/IMultiValueContainer.java,15,1,20,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0.5,0.5,5,5,2,2,0.5,5,0,0,1,1,0,5,6,0,0,0,0,3,0,3,0,3,0,0,3,0,5,6,0,0,0,0,3,0,3,0,3,0,0,3,0
L660,Class,Index,net.sourceforge.pbeans.Index,L769,L103,src/net/sourceforge/pbeans/Index.java,11,1,90,2,0,0,0,0,0,0,0,0,1,1,1,13,0,5,5,0,9,0.6,0.38961,30,30,6,4,0.38961,30,0,0,0,0,0,47,80,3,2,3,2,9,0,9,0,9,21,0,9,0,47,80,3,2,3,2,9,0,9,0,9,21,0,9,0
L1103,Interface,LogicalOperator,net.sourceforge.pbeans.LogicalOperator,L769,L103,src/net/sourceforge/pbeans/LogicalOperator.java,13,1,30,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,0.75,15,15,2,0,0.75,15,0,0,1,1,0,5,18,2,0,2,0,1,2,1,0,1,0,2,1,0,5,18,2,0,2,0,1,2,1,0,1,0,2,1,0
L2663,Class,MissingEntryException,net.sourceforge.pbeans.MissingEntryException,L769,L103,src/net/sourceforge/pbeans/MissingEntryException.java,8,1,20,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0.333333,0.3125,5,5,1,2,0.3125,5,0,0,0,0,0,11,13,2,0,2,0,2,0,2,0,2,3,0,2,0,11,13,2,0,2,0,2,0,2,0,2,3,0,2,0
L2673,Class,MultiValueContainer,net.sourceforge.pbeans.MultiValueContainer,L769,L103,src/net/sourceforge/pbeans/MultiValueContainer.java,16,1,56,2,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,0,4,1,0.558824,19,17,5,0,0.558824,19,1,1,0,0,1,15,41,1,0,1,0,4,0,4,0,4,4,0,4,0,15,41,1,0,1,0,4,0,4,0,4,4,0,4,0
L1098,Interface,Operator,net.sourceforge.pbeans.Operator,L769,L103,src/net/sourceforge/pbeans/Operator.java,13,1,57,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2,0.666667,0.738095,31,31,2,1,0.738095,31,0,0,1,1,0,11,45,6,0,6,0,2,6,2,0,2,0,6,2,0,11,45,6,0,6,0,2,6,2,0,2,0,6,2,0
L497,Interface,Persistent,net.sourceforge.pbeans.Persistent,L769,L103,src/net/sourceforge/pbeans/Persistent.java,117,1,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0.982759,114,114,1,0,0.982759,114,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
L504,Class,PersistentID,net.sourceforge.pbeans.PersistentID,L769,L103,src/net/sourceforge/pbeans/PersistentID.java,12,1,38,2,0,0,0,0,0,0,0,0,1,0,0,7,0,9,15,0,6,0.2,0.3,9,9,1,4,0.3,9,0,0,0,0,0,21,27,1,0,1,0,6,0,4,0,6,6,0,4,0,21,27,1,0,1,0,6,0,4,0,6,6,0,4,0
L2731,Class,"PersistentMap<TKey extends Object, TValue extends Object>",net.sourceforge.pbeans.PersistentMap,L769,L103,src/net/sourceforge/pbeans/PersistentMap.java,14,1,181,2,0,0,0,0,0,0,0,0,1,10,2,31,9,2,4,10,24,0.416667,0.15625,25,24,5,7,0.15625,25,0,0,0,0,0,135,168,2,5,2,5,14,0,11,2,14,71,0,11,2,135,168,2,5,2,5,14,0,11,2,14,71,0,11,2
L2774,Class,PersistentMapEntry<TValue extends Object>,net.sourceforge.pbeans.PersistentMapEntry,L769,L103,src/net/sourceforge/pbeans/PersistentMapEntry.java,5,1,53,2,0,0,0,0,0,0,0,0,0,1,1,11,7,1,2,2,10,0,0,0,0,0,9,0,0,0,0,0,0,0,41,49,3,4,3,4,8,0,8,4,8,11,0,8,4,41,49,3,4,3,4,8,0,8,4,8,11,0,8,4
L1121,Class,SimpleLogicalOperator,net.sourceforge.pbeans.SimpleLogicalOperator,L769,L103,src/net/sourceforge/pbeans/SimpleLogicalOperator.java,13,1,41,2,0,0,0,0,0,0,0,0,1,0,0,4,1,2,2,0,4,0.6,0.407407,11,10,3,2,0.407407,11,1,1,0,0,1,16,29,3,0,1,0,4,0,4,0,4,4,2,4,0,16,29,3,0,1,0,4,0,4,0,4,4,2,4,0
L2702,Class,SimpleOperator,net.sourceforge.pbeans.SimpleOperator,L769,L103,src/net/sourceforge/pbeans/SimpleOperator.java,17,1,63,2,0,0,0,0,0,0,0,0,1,1,1,7,1,0,0,0,5,0.5,0.333333,17,17,3,3,0.333333,17,1,1,0,0,1,34,47,7,0,1,0,5,0,5,0,5,9,6,5,0,34,47,7,0,1,0,5,0,5,0,5,9,6,5,0
L295,Class,Store,net.sourceforge.pbeans.Store,L769,L103,src/net/sourceforge/pbeans/Store.java,106,1,2416,2,0,0,0,0,0,0,0,0,3,7,6,265,32,19,50,91,171,0.913043,0.440627,872,819,42,4,0.406195,918,0,0,0,0,0,1107,2002,14,22,14,22,80,0,45,0,80,709,0,45,0,1342,2311,32,30,32,30,111,0,67,2,111,829,0,67,2
L413,Class,StoreException,net.sourceforge.pbeans.StoreException,L769,L103,src/net/sourceforge/pbeans/StoreException.java,7,1,19,2,0,0,0,0,0,0,0,0,0,0,0,3,0,13,39,0,3,0.25,0.266667,4,4,1,3,0.266667,4,0,0,1,1,0,11,13,0,0,0,0,3,0,3,0,3,3,0,3,0,11,13,0,0,0,0,3,0,3,0,3,3,0,3,0
L796,Interface,StoreInfo,net.sourceforge.pbeans.StoreInfo,L769,L103,src/net/sourceforge/pbeans/StoreInfo.java,39,1,93,2,0,0,0,0,0,0,0,0,0,0,0,15,4,6,22,0,15,0.5625,0.792683,65,65,9,7,0.792683,65,0,0,2,4,0,17,55,0,9,0,9,15,0,15,0,15,0,0,15,0,17,55,0,9,0,9,15,0,15,0,15,0,0,15,0
L154,Annotation,PersistentClass,net.sourceforge.pbeans.annotations.PersistentClass,L1034,L103,src/net/sourceforge/pbeans/annotations/PersistentClass.java,29,1,74,2,0,0,0,0,0,0,0,0,0,0,0,6,1,9,1,0,6,1,0.846154,55,55,1,0,0.846154,55,0,0,0,0,0,10,46,0,0,0,0,6,0,0,0,6,0,0,0,0,10,46,0,0,0,0,6,0,0,0,6,0,0,0,0
L223,Annotation,PersistentProperty,net.sourceforge.pbeans.annotations.PersistentProperty,L1034,L103,src/net/sourceforge/pbeans/annotations/PersistentProperty.java,13,1,59,2,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,0,4,1,0.833333,40,40,1,0,0.833333,40,0,0,0,0,0,8,47,0,0,0,0,4,0,0,0,4,0,0,0,0,8,47,0,0,0,0,4,0,0,0,4,0,0,0,0
L479,Annotation,PropertyIndex,net.sourceforge.pbeans.annotations.PropertyIndex,L1034,L103,src/net/sourceforge/pbeans/annotations/PropertyIndex.java,9,1,21,2,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,0,3,1,0.625,10,10,1,0,0.625,10,0,0,0,0,0,6,13,0,0,0,0,3,0,0,0,3,0,0,0,0,6,13,0,0,0,0,3,0,0,0,3,0,0,0,0
L490,Annotation,TransientProperty,net.sourceforge.pbeans.annotations.TransientProperty,L1034,L103,src/net/sourceforge/pbeans/annotations/TransientProperty.java,12,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0.5,4,4,1,0,0.5,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
L1218,Class,AbstractDatabase,net.sourceforge.pbeans.data.AbstractDatabase,L1204,L103,src/net/sourceforge/pbeans/data/AbstractDatabase.java,17,1,1422,2,0.0315503,2,17,5,0.0213371,0.0281162,30,30,3,9,9,259,12,8,27,35,85,0.913043,0.212662,262,233,21,2,0.197744,263,1,1,5,5,1,970,1295,9,17,9,17,50,0,22,4,50,639,0,22,4,1067,1406,17,20,17,20,63,2,35,4,63,680,2,35,4
L1663,Interface,BeanUnmarshaller,net.sourceforge.pbeans.data.BeanUnmarshaller,L1204,L103,src/net/sourceforge/pbeans/data/BeanUnmarshaller.java,3,1,13,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,3,0.25,0.5,5,5,1,3,0.5,5,0,0,1,1,0,5,11,0,1,0,1,3,0,3,1,3,0,0,3,1,5,11,0,1,0,1,3,0,3,1,3,0,0,3,1
L1652,Class,BeanWrapper,net.sourceforge.pbeans.data.BeanWrapper,L1204,L103,src/net/sourceforge/pbeans/data/BeanWrapper.java,3,1,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0,8,9,2,0,2,0,1,2,1,0,1,2,2,1,0
L1242,Class,ConnectionPool,net.sourceforge.pbeans.data.ConnectionPool,L1204,L103,src/net/sourceforge/pbeans/data/ConnectionPool.java,9,1,151,2,0,0,0,0,0,0,0,0,1,6,5,18,1,2,5,5,10,0,0.0481928,4,0,0,5,0.031746,4,0,0,0,0,0,79,90,7,1,7,1,5,0,4,2,5,43,0,4,2,122,143,9,2,9,2,14,0,13,2,14,59,0,13,2
L1220,Interface,Database,net.sourceforge.pbeans.data.Database,L1204,L103,src/net/sourceforge/pbeans/data/Database.java,9,1,104,2,0,0,0,0,0,0,0,0,0,0,0,16,4,4,21,0,16,0.705882,0.785714,66,66,12,5,0.785714,66,0,0,1,6,0,18,96,0,2,0,2,16,0,16,1,16,0,0,16,1,18,96,0,2,0,2,16,0,16,1,16,0,0,16,1
L1956,Interface,DatabaseFactory,net.sourceforge.pbeans.data.DatabaseFactory,L1204,L103,src/net/sourceforge/pbeans/data/DatabaseFactory.java,9,1,15,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0.7,7,7,2,0,0.7,7,0,0,1,1,0,3,7,0,1,0,1,1,0,1,0,1,0,0,1,0,3,7,0,1,0,1,1,0,1,0,1,0,0,1,0
L1961,Class,DefaultDatabaseFactory,net.sourceforge.pbeans.data.DefaultDatabaseFactory,L1204,L103,src/net/sourceforge/pbeans/data/DefaultDatabaseFactory.java,10,1,80,2,0,0,0,0,0,0,0,0,0,3,3,11,3,1,3,3,7,0.8,0.267606,19,19,4,1,0.267606,19,1,1,0,0,1,52,71,3,1,3,1,4,0,4,2,4,30,0,4,2,52,71,3,1,3,1,4,0,4,2,4,30,0,4,2
L645,Class,FieldDescriptor,net.sourceforge.pbeans.data.FieldDescriptor,L1204,L103,src/net/sourceforge/pbeans/data/FieldDescriptor.java,6,1,87,2,0,0,0,0,0,0,0,0,1,0,0,16,1,12,35,1,15,0.142857,0.2,14,14,2,12,0.2,14,0,0,0,0,0,56,82,6,3,6,3,14,0,13,0,14,19,0,13,0,56,82,6,3,6,3,14,0,13,0,14,19,0,13,0
L2088,Class,GenericDataSource,net.sourceforge.pbeans.data.GenericDataSource,L1204,L103,src/net/sourceforge/pbeans/data/GenericDataSource.java,13,1,106,2,0,0,0,0,0,0,0,0,0,1,1,19,0,2,2,0,12,0.333333,0.22619,19,19,4,8,0.22619,19,0,0,0,0,0,65,94,4,5,4,5,12,0,11,5,12,26,0,11,5,65,94,4,5,4,5,12,0,11,5,12,26,0,11,5
L2047,Class,GenericDatabase,net.sourceforge.pbeans.data.GenericDatabase,L1204,L103,src/net/sourceforge/pbeans/data/GenericDatabase.java,11,1,77,2,0.338129,1,2,1,0.208955,0.28,14,14,2,1,1,11,2,0,0,6,12,0.5,0.21875,14,14,2,2,0.21875,14,2,2,0,0,1,50,67,10,17,1,3,6,0,3,0,52,33,0,24,4,50,67,10,17,1,3,6,0,3,0,52,33,0,24,4
L1399,Class,IndexDescriptor,net.sourceforge.pbeans.data.IndexDescriptor,L1204,L103,src/net/sourceforge/pbeans/data/IndexDescriptor.java,8,1,73,2,0,0,0,0,0,0,0,0,1,1,1,14,0,4,5,0,10,0.181818,0.169492,10,8,2,9,0.169492,10,0,0,0,0,0,49,66,4,3,4,3,10,0,10,0,10,19,0,10,0,49,66,4,3,4,3,10,0,10,0,10,19,0,10,0
L1651,Interface,ResultsIterator<T extends Object>,net.sourceforge.pbeans.data.ResultsIterator,L1204,L103,src/net/sourceforge/pbeans/data/ResultsIterator.java,13,1,16,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,0.785714,11,11,2,0,0.785714,11,0,0,2,2,0,3,4,0,0,0,0,1,0,1,0,1,0,0,1,0,3,4,0,0,0,0,1,0,1,0,1,0,0,1,0
L2140,Class,DatabaseImpl,net.sourceforge.pbeans.data.hsqldb.DatabaseImpl,L2137,L103,src/net/sourceforge/pbeans/data/hsqldb/DatabaseImpl.java,16,1,160,2,0.216028,2,5,2,0.17931,0.236364,26,26,5,4,1,26,4,0,0,12,24,0.4,0.172414,20,20,2,3,0.179104,24,2,2,0,0,1,96,130,10,20,1,6,12,0,4,0,58,62,0,25,4,110,145,10,20,1,6,14,0,6,0,60,68,0,27,4
